file_keys,BBC,Blanco,FXive,Farnell,Max,Saksela,,BBC,Blanco,FXive,Farnell,Max,Saksela
E7PltATh5CjwnKFbanUgPwM0DWW1zt4M,0.736704446,0.256320837,0.345248474,0.190061029,0.282476024,0.097646033,,"0.736704446381865,","0.256320836965998,","0.345248474280732,","0.190061028770706,","0.282476024411508,","0.0976460331299041,"
GMxogdJ8ITJG7AW3AFULrzQV1krHM0zU,0.996119734,0.014412417,0.092017738,0.105321508,0.050997783,0.053769401,,"0.996119733924612,","0.0144124168514412,","0.0920177383592017,","0.105321507760532,","0.0509977827050997,","0.0537694013303769,"
cO37nZz0ml0P6MJD7VPE3Pibl041kqXF,0.699006875,0.193277311,0.083269672,0.171122995,0.142857143,0.048128342,,"0.699006875477463,","0.193277310924369,","0.0832696715049656,","0.171122994652406,","0.142857142857142,","0.0481283422459893,"
46EJxun7JAJwUL46dH4eZ36ArFVS8CPP,0.96223565,0.036253776,0.358761329,0.739425982,0.656344411,0.158610272,,"0.962235649546827,","0.0362537764350453,","0.358761329305135,","0.739425981873111,","0.656344410876132,","0.158610271903323,"
8hiHtiRQdR9gr1MyN477mwVCz0gvi86G,1,0.056701031,0.214776632,0.005154639,0.785223368,0.028350515,,"1,","0.056701030927835,","0.214776632302405,","0.00515463917525773,","0.785223367697594,","0.0283505154639175,"
nIVXjfroK2WcvaVnMbDobLbiBmBePRUg,0.838274933,0.07277628,0.324797844,0.452156334,0.174528302,0.283692722,,"0.838274932614555,","0.0727762803234501,","0.324797843665768,","0.452156334231805,","0.174528301886792,","0.283692722371967,"
9UPDsES4rqdCJ5znnUVOQElLdmgLgSqI,0.625269978,0.05237581,0.085853132,0.153887689,0.195464363,0.06425486,,"0.625269978401727,","0.0523758099352051,","0.08585313174946,","0.153887688984881,","0.195464362850971,","0.0642548596112311,"
L7x6KmDiNQvztet5W3FFRkbTPRR5NKn2,0.629711752,0.116962306,0.32594235,0.146341463,0.444567627,0.30654102,,"0.629711751662971,","0.116962305986696,","0.325942350332594,","0.146341463414634,","0.444567627494456,","0.306541019955654,"
wOs7qSDAXin7bPImA1PAKJDKvIQzja7v,0.290709291,0.193806194,0.348651349,0.503496503,0.466533467,0.423576424,,"0.29070929070929,","0.193806193806193,","0.348651348651348,","0.503496503496503,","0.466533466533466,","0.423576423576423,"
CYeCKVSBylcGBvOF0XTikMK23kDmF1lF,0.201298701,0.134508349,0.633580705,0.265306122,0.296846011,0.815398887,,"0.201298701298701,","0.134508348794063,","0.633580705009276,","0.265306122448979,","0.296846011131725,","0.815398886827458,"
Sgd37FVEqS51d9hi7huT5NeeYcmi726Q,0.405515004,0.01703163,0.082725061,0.161394972,0.294403893,0.116788321,,"0.40551500405515,","0.0170316301703163,","0.0827250608272506,","0.161394971613949,","0.294403892944038,","0.116788321167883,"
bk6N4MkG6elbucqIxg7Itue99hvl3gEU,0.619626926,0.03892944,0.105433901,0.209245742,0.827250608,0.167883212,,"0.619626926196269,","0.0389294403892944,","0.105433901054339,","0.209245742092457,","0.827250608272506,","0.167883211678832,"
yFdur5qBidiSvYh16dAiPcLHVMfr5Q2q,1,0.053122088,0.225535881,0.407269338,0.29916123,0.166821994,,"1,","0.0531220876048462,","0.225535880708294,","0.407269338303821,","0.299161230195712,","0.166821994408201,"
9YXH20hCaFlfez0GA4AFruYf7jrkdi9J,0.992709599,0.006682868,0.108748481,0.469623329,0.038274605,0.057108141,,"0.992709599027946,","0.00668286755771567,","0.108748481166464,","0.46962332928311,","0.0382746051032806,","0.0571081409477521,"
wEOqcidiSvskrnQM5vAcMZnbyMzGQsUo,0.90407855,0.03776435,0.098942598,0.306646526,0.824018127,0.558912387,,"0.904078549848942,","0.0377643504531722,","0.0989425981873111,","0.306646525679758,","0.824018126888217,","0.558912386706948,"
BkTPXhfVbn4MgDaaVHVwHQOpxjFnB7k4,0.905210643,0.009423503,0.077050998,0.403547672,0.640798226,0.233370288,,"0.905210643015521,","0.00942350332594235,","0.0770509977827051,","0.403547671840354,","0.640798226164079,","0.233370288248337,"
zyQCdI1kUy1XFruvJegazWPEFVxvPbXt,0.966197183,0.053521127,0.175352113,0.80915493,0.914084507,0.633098592,,"0.966197183098591,","0.0535211267605633,","0.175352112676056,","0.809154929577464,","0.914084507042253,","0.633098591549295,"
K53uRwFasSherqvr3tXvaOA0p0OBf69n,0.998106061,0.090909091,0.21780303,0.760416667,0.62594697,0.272727273,,"0.99810606060606,","0.0909090909090909,","0.21780303030303,","0.760416666666666,","0.625946969696969,","0.272727272727272,"
